previous_warning_reg_id,danger_level_name,UtmZone,UtmEast,UtmNorth,author,avalanche_danger,emergency_warning,snow_surface,current_weak_layers,latest_avalanche_activity,LatestObservations,registartion_id,RegionId,region_name,region_type_id,region_type_name,danger_level,valid_from,valid_to,next_warning_time,publish_time,main_text,lang_key,reg_id,avalanche_problem_id,avalanche_ext_id,avalanche_ext_name,aval_cause_id,aval_cause_name,aval_probability_id,AvalProbabilityName,aval_trigger_simple_id,aval_trigger_simple_name,destructive_size_ext_id,destructive_size_ext_name,aval_propagation_id,aval_propagation_name,avalanche_type_id,avalanche_type_name,avalanche_problem_type_id,avalanche_problem_type_name,valid_expositions,exposed_heigth_1,ExposedHeight2,exposed_height_fill
,,0,0,0,,,,,,,,0,3032,Hallingdal,10,A,0,2012-12-18T00:00:00,2012-12-18T23:59:59,2012-12-17T17:00:00,2012-12-18T00:00:00,Ikke vurdert,1,3449,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3034,Hardanger,10,A,0,2012-12-27T00:00:00,2012-12-27T23:59:59,2012-12-26T17:00:00,2012-12-27T00:00:00,Ikke vurdert,1,3591,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3032,Hallingdal,10,A,0,2013-01-03T00:00:00,2013-01-03T23:59:59,2013-01-02T17:00:00,2013-01-03T00:00:00,Ikke vurdert,1,3755,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3013,Indre Troms,10,A,0,2013-01-08T00:00:00,2013-01-08T23:59:59,2013-01-07T17:00:00,2013-01-08T00:00:00,Ikke vurdert,1,3901,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3007,Vest-Finnmark,10,A,0,2013-01-27T00:00:00,2013-01-27T23:59:59,2013-01-26T17:00:00,2013-01-27T00:00:00,Ikke vurdert,1,5731,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3015,Ofoten,10,A,0,2013-02-01T00:00:00,2013-02-01T23:59:59,2013-02-01T17:00:00,2013-02-01T00:00:00,Ikke vurdert,1,6219,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3028,Jotunheimen,10,A,0,2013-02-02T00:00:00,2013-02-02T23:59:59,2013-02-02T17:00:00,2013-02-02T00:00:00,Ikke vurdert,1,6377,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3022,Trollheimen,10,A,0,2013-02-03T00:00:00,2013-02-03T23:59:59,2013-02-02T17:00:00,2013-02-03T00:00:00,Ikke vurdert,1,6514,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3007,Vest-Finnmark,10,A,0,2013-02-02T00:00:00,2013-02-02T23:59:59,2013-02-02T17:00:00,2013-02-02T00:00:00,Ikke vurdert,1,6806,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2013-02-07T00:00:00,2013-02-07T23:59:59,2013-02-06T17:00:00,2013-02-07T00:00:00,Ikke vurdert,1,7208,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3032,Hallingdal,10,A,0,2013-02-09T00:00:00,2013-02-09T23:59:59,2013-02-09T17:00:00,2013-02-09T00:00:00,Ikke vurdert,1,7330,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3031,Voss,10,A,0,2013-02-17T00:00:00,2013-02-17T23:59:59,2013-02-16T17:00:00,2013-02-17T00:00:00,Ikke vurdert,1,8055,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2013-02-17T00:00:00,2013-02-17T23:59:59,2013-02-16T17:00:00,2013-02-17T00:00:00,Ikke vurdert,1,8060,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3032,Hallingdal,10,A,0,2013-02-20T00:00:00,2013-02-20T23:59:59,2013-02-20T17:00:00,2013-02-20T00:00:00,Ikke vurdert,1,8439,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2013-02-22T00:00:00,2013-02-22T23:59:59,2013-02-22T17:00:00,2013-02-22T00:00:00,Ikke vurdert,1,8552,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3027,Indre Fjordane,10,A,0,2013-02-19T00:00:00,2013-02-19T23:59:59,2013-02-18T17:00:00,2013-02-19T00:00:00,Ikke vurdert,1,8952,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3028,Jotunheimen,10,A,0,2013-02-28T00:00:00,2013-02-28T23:59:59,2013-02-27T17:00:00,2013-02-28T00:00:00,Ikke vurdert,1,9171,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3022,Trollheimen,10,A,0,2013-03-02T00:00:00,2013-03-02T23:59:59,2013-03-02T17:00:00,2013-03-02T00:00:00,Ikke vurdert,1,9533,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3031,Voss,10,A,0,2013-03-03T00:00:00,2013-03-03T23:59:59,2013-03-02T17:00:00,2013-03-03T00:00:00,Ikke vurdert,1,9534,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3014,Lofoten og Vesterålen,10,A,0,2013-03-09T00:00:00,2013-03-09T23:59:59,2013-03-09T17:00:00,2013-03-09T00:00:00,Ikke vurdert,1,10155,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3011,Tromsø,10,A,0,2013-03-09T00:00:00,2013-03-09T23:59:59,2013-03-09T17:00:00,2013-03-09T00:00:00,Ikke vurdert,1,10194,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2013-03-10T00:00:00,2013-03-10T23:59:59,2013-03-09T17:00:00,2013-03-10T00:00:00,Ikke vurdert,1,10233,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3014,Lofoten og Vesterålen,10,A,0,2013-03-11T00:00:00,2013-03-11T23:59:59,2013-03-11T17:00:00,2013-03-11T00:00:00,Ikke vurdert,1,10323,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3015,Ofoten,10,A,0,2013-03-11T00:00:00,2013-03-11T23:59:59,2013-03-11T17:00:00,2013-03-11T00:00:00,Ikke vurdert,1,10425,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3024,Sunnmøre,10,A,0,2013-03-14T00:00:00,2013-03-14T23:59:59,2013-03-13T17:00:00,2013-03-14T00:00:00,Ikke vurdert,1,10676,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2013-03-17T00:00:00,2013-03-17T23:59:59,2013-03-16T17:00:00,2013-03-17T00:00:00,Ikke vurdert,1,11025,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3011,Tromsø,10,A,0,2013-03-17T00:00:00,2013-03-17T23:59:59,2013-03-16T17:00:00,2013-03-17T00:00:00,Ikke vurdert,1,11032,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3014,Lofoten og Vesterålen,10,A,0,2013-03-17T00:00:00,2013-03-17T23:59:59,2013-03-16T17:00:00,2013-03-17T00:00:00,Ikke vurdert,1,11079,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3036,Rogalandskysten,20,B,0,2013-03-17T00:00:00,2013-03-17T23:59:59,2013-03-16T17:00:00,2013-03-17T00:00:00,Ikke vurdert,1,11198,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3014,Lofoten og Vesterålen,10,A,0,2013-03-19T00:00:00,2013-03-19T23:59:59,2013-03-18T17:00:00,2013-03-19T00:00:00,Ikke vurdert,1,11199,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3013,Indre Troms,10,A,0,2013-03-19T00:00:00,2013-03-19T23:59:59,2013-03-18T17:00:00,2013-03-19T00:00:00,Ikke vurdert,1,11203,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3013,Indre Troms,10,A,0,2013-04-03T00:00:00,2013-04-03T23:59:59,2013-04-03T17:00:00,2013-04-03T00:00:00,Ikke vurdert,1,12662,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2013-04-06T00:00:00,2013-04-06T23:59:59,2013-04-06T17:00:00,2013-04-06T00:00:00,Ikke vurdert,1,13071,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2013-04-27T00:00:00,2013-04-27T23:59:59,2013-04-27T17:00:00,2013-04-27T00:00:00,Ikke vurdert,1,14904,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2013-05-04T00:00:00,2013-05-04T23:59:59,2013-05-04T17:00:00,2013-05-04T00:00:00,Ikke vurdert,1,15502,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3011,Tromsø,10,A,0,2013-11-10T00:00:00,2013-11-10T23:59:59,2013-11-09T17:00:00,2013-11-10T00:00:00,Ikke vurdert,1,17638,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3031,Voss,10,A,0,2013-11-24T00:00:00,2013-11-24T23:59:59,2013-11-23T17:00:00,2013-11-24T00:00:00,Ikke vurdert,1,17907,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3012,Sør-Troms,10,A,0,2013-12-01T00:00:00,2013-12-01T23:59:59,2013-11-30T17:00:00,2013-12-01T00:00:00,Ikke vurdert,1,18463,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2013-12-14T00:00:00,2013-12-14T23:59:59,2013-12-14T17:00:00,2013-12-14T00:00:00,Ikke vurdert,1,20056,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2014-01-03T00:00:00,2014-01-03T23:59:59,2014-01-03T17:00:00,2014-01-03T00:00:00,Ikke vurdert,1,22116,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3027,Indre Fjordane,10,A,0,2014-01-05T00:00:00,2014-01-05T23:59:59,2014-01-04T17:00:00,2014-01-05T00:00:00,Ikke vurdert,1,22398,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3032,Hallingdal,10,A,0,2014-01-12T00:00:00,2014-01-12T23:59:59,2014-01-11T17:00:00,2014-01-12T00:00:00,Ikke vurdert,1,23253,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3031,Voss,10,A,0,2014-01-14T00:00:00,2014-01-14T23:59:59,2014-01-13T17:00:00,2014-01-14T00:00:00,Ikke vurdert,1,23461,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3024,Sunnmøre,10,A,0,2014-01-17T00:00:00,2014-01-17T23:59:59,2014-01-17T17:00:00,2014-01-17T00:00:00,Ikke vurdert,1,23869,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2014-01-19T00:00:00,2014-01-19T23:59:59,2014-01-18T17:00:00,2014-01-19T00:00:00,Ikke vurdert,1,24047,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2014-01-18T00:00:00,2014-01-18T23:59:59,2014-01-18T17:00:00,2014-01-18T00:00:00,Ikke vurdert,1,24049,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3029,Indre Sogn,10,A,0,2014-01-26T00:00:00,2014-01-26T23:59:59,2014-01-25T17:00:00,2014-01-26T00:00:00,Ikke vurdert,1,24760,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3014,Lofoten og Vesterålen,10,A,0,2014-01-26T00:00:00,2014-01-26T23:59:59,2014-01-25T17:00:00,2014-01-26T00:00:00,Ikke vurdert,1,24769,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3011,Tromsø,10,A,0,2014-02-20T00:00:00,2014-02-20T23:59:59,2014-02-19T17:00:00,2014-02-20T00:00:00,Ikke vurdert,1,27692,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3012,Sør-Troms,10,A,0,2014-02-23T00:00:00,2014-02-23T23:59:59,2014-02-22T17:00:00,2014-02-23T00:00:00,Ikke vurdert,1,27947,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2014-02-26T00:00:00,2014-02-26T23:59:59,2014-02-26T17:00:00,2014-02-26T00:00:00,Ikke vurdert,1,28209,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2014-02-26T00:00:00,2014-02-26T23:59:59,2014-02-26T17:00:00,2014-02-26T00:00:00,Ikke vurdert,1,28211,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2014-03-07T00:00:00,2014-03-07T23:59:59,2014-03-07T17:00:00,2014-03-07T00:00:00,Ikke vurdert,1,28967,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2014-03-09T00:00:00,2014-03-09T23:59:59,2014-03-08T17:00:00,2014-03-09T00:00:00,Ikke vurdert,1,29121,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,,,,,,,,0,3010,Lyngen,10,A,0,2014-03-11T00:00:00,2014-03-11T23:59:59,2014-03-10T17:00:00,2014-03-11T00:00:00,Ikke vurdert,1,29278,,,,,,,,,,,,,,,,,,,,,
